Transaction_Amount,Receipt_Details,Transaction_Frequency,Merchant_Rating,Customer_Age,Transaction_Location_International,Transaction_Location_Local
380.7947176588889,1,3,4,45,True,False
951.207163345817,0,6,2,24,True,False
734.6740023932911,0,6,4,49,False,True
602.6718993550662,0,3,3,28,True,False
164.45845403801215,0,7,1,27,False,True
164.43457513284062,0,3,4,26,False,True
67.50277604651747,1,8,1,31,True,False
867.5143843171858,0,4,2,30,True,False
605.1038616257767,1,1,1,78,False,True
710.9918520180851,1,4,2,74,False,True
30.378649352844423,0,7,3,79,False,True
970.2107536403744,0,4,2,42,True,False
834.1182143924175,1,6,2,19,False,True
220.2157195714934,0,9,5,52,True,False
190.00671753502962,0,1,4,24,True,False
191.5704647548995,1,5,4,38,True,False
311.1998205299424,1,7,3,35,False,True
529.5088673159155,0,1,3,20,True,False
437.62556845569463,1,4,4,59,True,False
298.3168487960615,0,6,5,71,True,False
615.7343657751557,0,2,4,78,True,False
148.09892204552142,0,5,5,56,True,False
299.22320204986596,1,1,3,58,False,True
372.6982248607548,1,6,1,66,True,False
461.50928437486556,1,6,3,28,True,False
787.3242017790834,1,4,3,56,False,True
207.67704433677613,1,8,2,41,True,False
519.0920940294754,0,4,2,77,False,True
596.4904231734221,0,8,2,63,True,False
55.98590859279775,0,8,2,36,False,True
611.4694033824239,0,5,5,21,False,True
178.8188824504186,1,4,4,43,True,False
74.40107705542673,0,2,1,55,True,False
949.3966818807999,1,3,3,59,True,False
965.9757127438138,0,3,5,49,False,True
810.3133746352966,1,4,1,56,False,True
311.56763148163697,1,4,5,62,False,True
106.69539286632003,0,5,5,63,True,False
687.3906962470353,0,4,3,53,False,True
445.7509688022053,0,8,4,57,False,True
130.81785249633106,0,6,2,54,True,False
500.2251410101575,1,6,4,50,False,True
44.04463590406621,0,8,3,53,False,True
910.2271980579942,0,7,3,20,True,False
266.1921817840167,1,8,3,26,False,True
665.8970615104422,0,2,1,25,True,False
318.59396532851684,0,9,4,50,True,False
524.8673409660327,0,1,4,76,True,False
551.2431765498469,0,8,5,23,True,False
193.00591097027177,0,4,5,58,True,False
969.888781486913,1,4,5,56,False,True
777.3814951275034,0,5,3,21,False,True
940.1039521485473,0,8,4,30,True,False
895.8790769233724,0,5,3,66,True,False
601.9209790229743,0,8,1,77,False,True
922.6554926728857,0,1,5,19,True,False
97.6075770314003,1,9,3,77,True,False
204.02303379495373,0,6,3,22,True,False
54.775016021432684,1,3,1,61,False,True
332.0770274556317,1,8,2,44,False,True
394.7905167925872,0,9,4,49,True,False
278.63554145615694,0,6,2,38,True,False
830.45013406041,0,7,5,25,False,True
363.1857934266534,0,1,3,55,False,True
288.1251645905069,1,5,1,25,True,False
547.269122326666,0,5,1,67,True,False
149.51498272501502,0,4,4,20,False,True
804.1750109464992,0,6,2,71,False,True
83.80513724297312,0,7,4,61,False,True
987.0180672345122,0,9,3,78,True,False
774.5223216036909,0,1,4,75,False,True
206.72852471883067,1,6,1,20,True,False
15.466895952366375,1,7,1,39,False,True
817.3068141702859,0,3,5,23,False,True
709.788770409141,0,8,5,19,False,True
731.7170963605774,0,5,3,40,False,True
773.5576432190862,1,9,2,61,True,False
83.30420521674945,0,5,4,19,True,False
364.8810712588299,1,9,3,55,False,True
124.71036892987841,0,4,5,34,True,False
864.4723916168376,0,9,4,52,False,True
627.0651455592823,0,5,5,51,False,True
337.5890446041227,0,9,4,40,False,True
72.9227667831634,1,3,2,47,False,True
317.8724984985056,1,4,3,69,True,False
331.9314888064796,0,9,4,25,False,True
732.3101165546834,0,6,1,39,False,True
641.181896641661,1,2,1,61,True,False
888.3406151505633,1,7,4,75,False,True
477.4927759103298,1,2,4,53,False,True
128.3983034789187,1,2,4,22,False,True
716.1123393507651,0,1,1,30,True,False
763.1771981307285,1,3,1,46,False,True
565.6644255938013,0,6,4,48,True,False
773.2575081550153,1,8,5,64,False,True
498.85764040074685,1,9,5,74,False,True
527.5055010881741,1,7,2,72,True,False
433.26560817496414,1,4,3,33,False,True
35.164935476654236,1,6,5,59,False,True
116.81251272337141,0,5,1,79,True,False
41.11489382986691,0,8,5,47,True,False
640.0463071511426,1,1,2,74,True,False
321.2124212655634,1,1,2,72,True,False
513.4849842530557,0,6,3,33,True,False
908.490809186832,1,2,5,29,False,True
256.7993068573862,1,5,1,34,True,False
416.2790938052734,0,1,1,33,False,True
